

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	1:16:56 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.2

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.909	33
SPL2	B1	1.001	49
SPL3	C1	0.803	30
SPL4	D1	0.816	32
SPL5	E1	1.060	291
SPL6	F1	0.041	14
SPL7	G1	0.041	7
SPL8	H1	1.109	34
SPL9	I1	0.875	213
SPL10	J1	0.899	549
SPL11	K1	0.872	57
SPL12	L1	0.911	51
SPL13	M1	0.943	34
SPL14	N1	0.857	25
SPL15	O1	0.158	9
SPL16	P1	0.053	7
SPL17	A2	0.913	55
SPL18	B2	1.028	64
SPL19	C2	0.817	33
SPL20	D2	1.106	47
SPL21	E2	1.045	429
SPL22	F2	0.967	1028
SPL23	G2	0.994	34
SPL24	H2	0.863	31
SPL25	I2	0.898	383
SPL26	J2	0.931	270
SPL27	K2	1.029	63
SPL28	L2	0.588	48
SPL29	M2	0.855	28
SPL30	N2	0.823	25
SPL31	O2	0.428	21
SPL32	P2	0.254	17
SPL33	A3	0.041	5
SPL34	B3	0.852	53
SPL35	C3	0.040	8
SPL36	D3	0.888	26
SPL37	E3	0.984	962
SPL38	F3	0.943	961
SPL39	G3	0.041	11
SPL40	H3	0.736	31
SPL41	I3	0.837	376
SPL42	J3	0.992	304
SPL43	K3	0.527	38
SPL44	L3	0.978	59
SPL45	M3	0.795	31
SPL46	N3	0.658	26
SPL47	O3	0.717	28
SPL48	P3	0.669	20
SPL49	A4	0.911	45
SPL50	B4	0.860	65
SPL51	C4	0.890	29
SPL52	D4	0.862	31
SPL53	E4	1.059	743
SPL54	F4	0.040	9
SPL55	G4	0.865	36
SPL56	H4	0.696	38
SPL57	I4	0.948	321
SPL58	J4	0.947	381
SPL59	K4	0.675	47
SPL60	L4	0.615	49
SPL61	M4	0.814	34
SPL62	N4	0.820	33
SPL63	O4	0.617	23
SPL64	P4	0.730	22
SPL65	A5	0.966	48
SPL66	B5	0.831	51
SPL67	C5	0.887	36
SPL68	D5	0.847	32
SPL69	E5	0.976	763
SPL70	F5	0.040	12
SPL71	G5	0.809	43
SPL72	H5	0.868	38
SPL73	I5	0.737	234
SPL74	J5	1.074	350
SPL75	K5	0.798	58
SPL76	L5	0.637	41
SPL77	M5	0.779	33
SPL78	N5	0.646	27
SPL79	O5	0.791	29
SPL80	P5	0.711	24
SPL81	A6	0.885	46
SPL82	B6	0.912	57
SPL83	C6	0.971	66
SPL84	D6	0.854	38
SPL85	E6	0.977	1009
SPL86	F6	1.070	969
SPL87	G6	0.854	46
SPL88	H6	0.883	41
SPL89	I6	0.941	289
SPL90	J6	1.035	223
SPL91	K6	1.052	52
SPL92	L6	0.870	54
SPL93	M6	0.861	31
SPL94	N6	0.833	30
SPL95	O6	0.521	22
SPL96	P6	0.788	29
SPL97	A7	0.912	57
SPL98	B7	0.845	50
SPL99	C7	0.835	26
SPL100	D7	0.792	34
SPL101	E7	0.993	730
SPL102	F7	0.966	934
SPL103	G7	0.797	41
SPL104	H7	0.912	41
SPL105	I7	0.949	293
SPL106	J7	1.063	182
SPL107	K7	0.947	45
SPL108	L7	0.928	56
SPL109	M7	0.805	29
SPL110	N7	0.810	29
SPL111	O7	0.860	27
SPL112	P7	0.598	21
SPL113	A8	0.897	53
SPL114	B8	0.902	49
SPL115	C8	0.995	37
SPL116	D8	0.885	36
SPL117	E8	0.963	800
SPL118	F8	1.006	931
SPL119	G8	0.930	43
SPL120	H8	0.929	45
SPL121	I8	0.809	250
SPL122	J8	0.945	219
SPL123	K8	0.988	51
SPL124	L8	0.890	62
SPL125	M8	0.879	32
SPL126	N8	0.863	27
SPL127	O8	0.976	34
SPL128	P8	0.646	25
SPL129	A9	0.947	46
SPL130	B9	0.905	55
SPL131	C9	0.829	33
SPL132	D9	0.837	32
SPL133	E9	0.867	938
SPL134	F9	0.934	1015
SPL135	G9	0.879	39
SPL136	H9	0.866	37
SPL137	I9	1.012	355
