

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	2:40:01 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.1

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	1.200	87
SPL2	B1	1.232	110
SPL3	C1	1.173	49
SPL4	D1	0.999	56
SPL5	E1	1.202	709
SPL6	F1	0.041	18
SPL7	G1	0.041	8
SPL8	H1	1.199	72
SPL9	I1	1.230	1040
SPL10	J1	1.115	1522
SPL11	K1	1.227	191
SPL12	L1	1.270	231
SPL13	M1	1.226	59
SPL14	N1	1.170	66
SPL15	O1	0.175	13
SPL16	P1	0.096	8
SPL17	A2	1.230	122
SPL18	B2	1.229	133
SPL19	C2	1.171	72
SPL20	D2	1.258	64
SPL21	E2	1.236	1409
SPL22	F2	1.125	2000
SPL23	G2	1.164	65
SPL24	H2	1.188	75
SPL25	I2	1.206	1434
SPL26	J2	1.258	1501
SPL27	K2	1.246	256
SPL28	L2	1.217	248
SPL29	M2	1.198	76
SPL30	N2	1.180	70
SPL31	O2	0.892	34
SPL32	P2	0.436	24
SPL33	A3	0.041	7
SPL34	B3	1.187	134
SPL35	C3	0.041	7
SPL36	D3	1.147	55
SPL37	E3	1.208	1169
SPL38	F3	1.119	1485
SPL39	G3	0.042	13
SPL40	H3	1.139	61
SPL41	I3	1.154	1464
SPL42	J3	1.218	1099
SPL43	K3	1.196	259
SPL44	L3	1.232	219
SPL45	M3	0.811	50
SPL46	N3	0.883	39
SPL47	O3	1.209	69
SPL48	P3	0.945	45
SPL49	A4	1.200	136
SPL50	B4	1.123	144
SPL51	C4	1.185	64
SPL52	D4	1.197	68
SPL53	E4	1.224	1329
SPL54	F4	0.042	8
SPL55	G4	0.041	7
SPL56	H4	1.130	69
SPL57	I4	1.234	1149
SPL58	J4	1.195	1487
