

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	12:50:51 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.3

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL200	H13	0.756	28
SPL201	I13	0.769	93
SPL202	J13	0.732	97
SPL203	K13	0.779	28
SPL204	L13	0.795	22
SPL205	M13	0.589	10
SPL206	N13	0.744	20
SPL207	O13	0.740	23
SPL208	P13	0.743	24
SPL209	A14	0.705	46
SPL210	B14	0.766	42
SPL211	C14	0.770	29
SPL212	D14	0.746	24
SPL213	E14	0.818	28
SPL214	F14	0.841	34
SPL215	G14	0.719	31
SPL216	H14	0.747	12
SPL217	I14	0.735	105
SPL218	J14	0.674	28
SPL219	K14	0.764	21
SPL220	L14	0.641	13
SPL221	M14	0.783	23
SPL222	N14	0.780	22
SPL223	O14	0.771	19
SPL224	P14	0.750	22
SPL225	A15	0.748	43
SPL226	B15	0.731	39
SPL227	C15	0.736	30
SPL228	D15	0.711	30
SPL229	E15	0.732	34
SPL230	F15	0.786	42
SPL231	G15	0.710	33
SPL232	H15	0.702	29
SPL233	I15	0.750	87
SPL234	J15	0.756	85
SPL235	K15	0.768	26
SPL236	L15	0.767	27
SPL237	M15	0.679	21
SPL238	N15	0.779	22
SPL239	O15	0.730	25
SPL240	P15	0.779	25
SPL241	A16	0.665	36
SPL242	B16	0.708	40
SPL243	C16	0.711	30
SPL244	D16	0.716	29
SPL245	E16	0.768	28
SPL246	F16	0.790	39
SPL247	G16	0.748	24
SPL248	H16	0.708	28
SPL249	I16	0.768	86
SPL250	J16	0.773	74
SPL251	K16	0.808	23
SPL252	L16	0.755	26
SPL253	M16	0.718	22
SPL254	N16	0.804	29
SPL255	O16	0.734	21
SPL256	P16	0.763	18
SPL257	A17	0.685	46
SPL258	B17	0.700	39
SPL259	C17	0.732	30
SPL260	D17	0.730	24
SPL261	E17	0.795	38
SPL262	F17	0.827	36
SPL263	G17	0.718	28
SPL264	H17	0.750	28
SPL265	I17	0.733	78
SPL266	J17	0.775	64
