

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	3:03:27 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	27.9

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	1.195	122
SPL2	B1	1.286	157
SPL3	C1	1.244	48
SPL4	D1	1.140	59
SPL5	E1	1.224	1219
SPL6	F1	0.041	19
SPL7	G1	0.041	8
SPL8	H1	1.274	73
SPL9	I1	1.160	837
SPL10	J1	1.033	1016
SPL11	K1	1.111	128
SPL12	L1	1.243	233
SPL13	M1	1.218	52
SPL14	N1	1.031	59
SPL15	O1	0.155	9
SPL16	P1	0.113	7
SPL17	A2	1.228	132
SPL18	B2	1.221	190
SPL19	C2	1.115	65
SPL20	D2	1.284	53
SPL21	E2	1.274	2452
SPL22	F2	1.100	2869
SPL23	G2	1.053	71
SPL24	H2	1.231	62
SPL25	I2	1.159	1030
SPL26	J2	1.119	942
SPL27	K2	1.177	269
SPL28	L2	1.191	195
SPL29	M2	1.216	68
SPL30	N2	1.123	71
SPL31	O2	0.721	25
SPL32	P2	0.388	17
SPL33	A3	0.042	6
SPL34	B3	1.214	210
SPL35	C3	0.042	7
SPL36	D3	1.172	53
SPL37	E3	1.091	2089
SPL38	F3	1.103	2406
SPL39	G3	0.048	13
SPL40	H3	1.050	57
SPL41	I3	1.095	1088
SPL42	J3	1.104	935
SPL43	K3	1.192	300
SPL44	L3	1.206	240
SPL45	M3	1.150	58
SPL46	N3	1.086	70
SPL47	O3	1.146	67
SPL48	P3	1.197	74
SPL49	A4	1.257	208
SPL50	B4	1.127	222
SPL51	C4	1.198	65
SPL52	D4	1.185	56
SPL53	E4	1.238	2164
SPL54	F4	0.047	10
SPL55	G4	0.048	8
SPL56	H4	1.248	73
SPL57	I4	1.157	1054
SPL58	J4	1.136	999
SPL59	K4	1.214	261
SPL60	L4	1.093	178
SPL61	M4	1.144	74
SPL62	N4	1.171	66
SPL63	O4	1.172	69
SPL64	P4	1.049	33
SPL65	A5	1.278	207
SPL66	B5	1.233	199
SPL67	C5	1.187	72
SPL68	D5	1.118	55
SPL69	E5	1.192	2037
SPL70	F5	0.050	18
SPL71	G5	1.243	82
SPL72	H5	1.182	86
SPL73	I5	1.108	733
SPL74	J5	1.178	1050
SPL75	K5	1.155	206
SPL76	L5	1.209	242
SPL77	M5	1.144	76
SPL78	N5	1.148	58
SPL79	O5	1.111	57
SPL80	P5	1.094	34
SPL81	A6	1.248	220
SPL82	B6	0.944	143
SPL83	C6	1.235	79
SPL84	D6	1.143	69
SPL85	E6	1.223	2061
SPL86	F6	1.208	1770
SPL87	G6	1.199	79
SPL88	H6	1.209	74
SPL89	I6	1.200	933
SPL90	J6	1.150	971
SPL91	K6	1.234	231
SPL92	L6	1.170	195
SPL93	M6	1.169	81
SPL94	N6	1.147	61
SPL95	O6	1.040	40
SPL96	P6	1.140	39
SPL97	A7	1.153	171
SPL98	B7	1.214	185
SPL99	C7	1.202	56
SPL100	D7	1.141	52
SPL101	E7	1.187	1455
SPL102	F7	1.224	2014
SPL103	G7	1.254	78
SPL104	H7	1.206	82
SPL105	I7	1.099	571
SPL106	J7	1.170	1074
SPL107	K7	1.188	197
SPL108	L7	1.202	274
SPL109	M7	1.095	65
SPL110	N7	1.049	44
SPL111	O7	1.123	37
SPL112	P7	1.232	65
SPL113	A8	1.267	203
SPL114	B8	1.198	183
SPL115	C8	1.192	56
SPL116	D8	1.256	48
SPL117	E8	1.265	1723
SPL118	F8	1.252	2099
SPL119	G8	1.214	73
SPL120	H8	1.238	67
SPL121	I8	1.162	1017
SPL122	J8	1.137	996
SPL123	K8	1.210	238
SPL124	L8	1.202	231
SPL125	M8	1.175	63
SPL126	N8	1.146	70
SPL127	O8	1.194	65
SPL128	P8	1.067	57
SPL129	A9	1.219	157
SPL130	B9	1.218	179
SPL131	C9	1.196	50
SPL132	D9	1.047	51
SPL133	E9	1.226	1520
SPL134	F9	1.189	1588
SPL135	G9	1.310	67
SPL136	H9	1.191	55
SPL137	I9	1.174	809
SPL138	J9	1.138	775
SPL139	K9	1.210	202
SPL140	L9	1.243	227
SPL141	M9	1.176	72
SPL142	N9	1.178	72
SPL143	O9	1.200	58
SPL144	P9	1.203	67
SPL145	A10	1.235	192
SPL146	B10	1.236	201
SPL147	C10	1.223	59
SPL148	D10	1.259	53
SPL149	E10	1.267	2134
SPL150	F10	1.240	1963
SPL151	G10	1.245	88
SPL152	H10	1.257	72
SPL153	I10	1.199	929
SPL154	J10	1.152	763
SPL155	K10	1.197	203
SPL156	L10	0.041	8
SPL157	M10	1.170	59
SPL158	N10	1.148	62
SPL159	O10	1.210	66
SPL160	P10	1.234	64
SPL161	A11	1.240	156
SPL162	B11	1.191	164
SPL163	C11	1.223	72
SPL164	D11	1.197	55
SPL165	E11	1.235	2013
SPL166	F11	1.266	1448
SPL167	G11	1.220	88
SPL168	H11	1.203	78
SPL169	I11	1.197	1007
SPL170	J11	1.181	905
SPL171	K11	1.118	202
SPL172	L11	1.203	154
SPL173	M11	1.171	77
SPL174	N11	1.166	74
SPL175	O11	1.143	72
SPL176	P11	1.195	60
SPL177	A12	1.269	187
SPL178	B12	1.201	181
SPL179	C12	1.134	54
SPL180	D12	1.050	70
SPL181	E12	1.229	2085
SPL182	F12	1.228	1874
SPL183	G12	1.209	87
SPL184	H12	1.254	91
SPL185	I12	1.172	938
SPL186	J12	1.198	791
SPL187	K12	1.217	202
SPL188	L12	1.206	203
SPL189	M12	1.168	59
SPL190	N12	1.161	58
SPL191	O12	1.236	80
SPL192	P12	1.201	71
SPL193	A13	1.250	198
SPL194	B13	1.219	170
SPL195	C13	1.226	76
SPL196	D13	1.189	73
SPL197	E13	1.261	2011
SPL198	F13	1.240	1881
SPL199	G13	1.163	83
SPL200	H13	1.213	79
SPL201	I13	1.168	870
SPL202	J13	1.202	981
SPL203	K13	1.192	198
SPL204	L13	1.181	184
SPL205	M13	1.196	59
SPL206	N13	1.155	54
SPL207	O13	1.225	69
SPL208	P13	1.219	60
SPL209	A14	1.236	201
SPL210	B14	1.202	169
SPL211	C14	1.208	56
SPL212	D14	1.222	62
SPL213	E14	1.271	2187
SPL214	F14	1.224	1991
SPL215	G14	1.201	64
SPL216	H14	1.246	75
SPL217	I14	1.190	995
SPL218	J14	1.100	820
SPL219	K14	1.198	219
SPL220	L14	1.205	224
SPL221	M14	1.202	74
SPL222	N14	1.198	64
SPL223	O14	1.185	55
SPL224	P14	0.857	56
SPL225	A15	1.186	189
SPL226	B15	1.184	167
SPL227	C15	1.185	74
SPL228	D15	1.209	53
SPL229	E15	1.198	1914
SPL230	F15	1.206	1734
SPL231	G15	1.236	76
SPL232	H15	1.158	68
SPL233	I15	1.140	1004
SPL234	J15	1.144	859
SPL235	K15	1.173	255
SPL236	L15	1.215	260
SPL237	M15	1.049	65
SPL238	N15	1.203	60
SPL239	O15	1.181	71
SPL240	P15	1.208	65
SPL241	A16	1.185	177
SPL242	B16	1.197	185
SPL243	C16	1.208	54
SPL244	D16	1.191	62
SPL245	E16	1.236	1962
SPL246	F16	1.246	1826
SPL247	G16	1.196	78
SPL248	H16	1.175	63
SPL249	I16	1.140	928
SPL250	J16	1.094	701
SPL251	K16	1.223	263
SPL252	L16	1.195	248
SPL253	M16	1.193	81
SPL254	N16	1.183	70
SPL255	O16	1.212	70
SPL256	P16	1.187	68
SPL257	A17	1.178	218
SPL258	B17	1.221	160
SPL259	C17	1.212	58
SPL260	D17	1.217	72
SPL261	E17	1.258	1927
SPL262	F17	1.270	1796
SPL263	G17	1.158	61
SPL264	H17	1.157	71
SPL265	I17	1.186	972
SPL266	J17	1.117	777
SPL267	K17	1.212	242
SPL268	L17	1.229	275
SPL269	M17	1.143	64
SPL270	N17	1.111	73
SPL271	O17	1.201	51
SPL272	P17	1.048	76
SPL273	A18	1.087	134
SPL274	B18	1.212	158
SPL275	C18	1.184	57
SPL276	D18	1.224	72
SPL277	E18	1.260	2146
SPL278	F18	1.223	1744
SPL279	G18	1.077	61
SPL280	H18	1.272	52
SPL281	I18	1.141	777
SPL282	J18	1.149	952
SPL283	K18	1.184	253
SPL284	L18	1.223	248
SPL285	M18	1.142	74
SPL286	N18	1.167	71
SPL287	O18	1.171	74
SPL288	P18	1.182	72
SPL289	A19	1.232	123
SPL290	B19	1.179	158
SPL291	C19	1.206	50
