

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	2:27:25 PM
Reader Type:	Synergy H1
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.3

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL195	C13	0.879	2723
SPL196	D13	1.022	4055
SPL197	E13	1.200	703
SPL198	F13	1.200	855
SPL199	G13	1.134	277
SPL200	H13	1.168	615
SPL201	I13	1.115	434
SPL202	J13	1.096	370
SPL203	K13	1.195	75
SPL204	L13	1.221	53
SPL205	M13	1.228	1315
SPL206	N13	1.238	1744
SPL207	O13	1.195	1294
SPL208	P13	1.244	1256
SPL209	A14	1.142	265
SPL210	B14	1.081	328
SPL211	C14	0.908	3427
SPL212	D14	0.996	4438
SPL213	E14	1.184	811
SPL214	F14	1.184	905
SPL215	G14	1.192	561
SPL216	H14	1.151	622
SPL217	I14	1.126	394
SPL218	J14	1.090	387
SPL219	K14	1.258	67
SPL220	L14	1.230	58
SPL221	M14	1.188	2837
SPL222	N14	1.228	3010
SPL223	O14	1.235	1374
SPL224	P14	1.212	1356
SPL225	A15	1.135	268
SPL226	B15	1.112	258
SPL227	C15	1.093	5404
SPL228	D15	0.875	3358
SPL229	E15	1.174	836
SPL230	F15	1.145	820
SPL231	G15	1.129	667
SPL232	H15	1.140	459
SPL233	I15	1.123	397
SPL234	J15	1.100	420
SPL235	K15	1.185	67
SPL236	L15	1.214	78
SPL237	M15	1.189	1304
SPL238	N15	1.187	2866
SPL239	O15	1.213	1271
SPL240	P15	1.228	1267
SPL241	A16	1.111	243
SPL242	B16	1.095	266
SPL243	C16	1.029	4130
SPL244	D16	1.002	4235
SPL245	E16	1.194	732
SPL246	F16	1.161	775
SPL247	G16	1.141	554
SPL248	H16	1.120	515
SPL249	I16	1.099	410
SPL250	J16	1.079	329
SPL251	K16	1.178	51
SPL252	L16	1.206	80
SPL253	M16	1.200	2374
SPL254	N16	1.192	2480
SPL255	O16	1.192	1398
SPL256	P16	1.190	1366
SPL257	A17	1.117	251
SPL258	B17	1.127	254
SPL259	C17	1.089	4918
SPL260	D17	1.089	4731
SPL261	E17	1.176	948
SPL262	F17	1.160	885
SPL263	G17	1.155	594
SPL264	H17	1.133	427
SPL265	I17	1.075	325
SPL266	J17	1.103	320
SPL267	K17	1.199	75
SPL268	L17	1.218	57
SPL269	M17	1.185	3035
SPL270	N17	1.176	3002
SPL271	O17	1.188	1118
SPL272	P17	1.236	1557
SPL273	A18	1.109	210
SPL274	B18	1.057	261
SPL275	C18	0.928	3281
SPL276	D18	1.032	4827
SPL277	E18	1.162	859
SPL278	F18	1.180	730
SPL279	G18	1.117	603
SPL280	H18	1.114	428
SPL281	I18	1.122	282
SPL282	J18	1.076	433
SPL283	K18	1.194	61
SPL284	L18	1.122	68
SPL285	M18	1.169	2845
SPL286	N18	1.212	2958
SPL287	O18	1.216	1458
SPL288	P18	1.203	1225
SPL289	A19	1.135	256
SPL290	B19	0.993	264
SPL291	C19	0.767	2351
SPL292	D19	0.559	1767
SPL293	E19	1.215	738
SPL294	F19	1.175	376
SPL295	G19	1.122	629
SPL296	H19	1.144	592
SPL297	I19	1.091	389
SPL298	J19	1.092	411
SPL299	K19	1.153	73
SPL300	L19	1.201	75
SPL301	M19	1.176	2573
SPL302	N19	1.178	3145
SPL303	O19	1.205	1336
SPL304	P19	1.230	1250
SPL305	A20	1.126	265
SPL306	B20	1.089	248
SPL307	C20	0.706	2320
SPL308	D20	0.897	3591
SPL309	E20	1.199	687
SPL310	F20	1.192	677
SPL311	G20	1.127	596
SPL312	H20	1.133	572
SPL313	I20	1.097	394
SPL314	J20	1.074	401
SPL315	K20	1.193	72
SPL316	L20	1.153	77
SPL317	M20	1.159	3133
SPL318	N20	1.216	2754
SPL319	O20	1.202	1384
SPL320	P20	1.220	1330
SPL321	A21	1.140	312
SPL322	B21	1.075	247
SPL323	C21	0.875	2555
SPL324	D21	0.675	1769
SPL325	E21	1.062	840
SPL326	F21	1.168	721
SPL327	G21	1.117	580
SPL328	H21	1.137	579
SPL329	I21	1.087	412
SPL330	J21	1.066	420
SPL331	K21	1.175	82
SPL332	L21	1.186	68
SPL333	M21	1.180	1650
SPL334	N21	1.154	2677
SPL335	O21	1.130	1103
SPL336	P21	1.231	1469
SPL337	A22	1.089	285
SPL338	B22	1.065	237
SPL339	C22	0.728	2360
SPL340	D22	0.915	2913
SPL341	E22	1.154	720
SPL342	F22	1.153	782
SPL343	G22	0.925	390
SPL344	H22	1.102	589
SPL345	I22	1.071	349
SPL346	J22	1.048	379
SPL347	K22	1.176	58
SPL348	L22	1.183	70
SPL349	M22	1.214	3133
SPL350	N22	1.203	3053
SPL351	O22	1.224	1368
SPL352	P22	1.202	1514
SPL353	A23	1.131	236
SPL354	B23	1.071	225
SPL355	C23	1.058	4003
SPL356	D23	1.074	5218
SPL357	E23	1.196	747
SPL358	F23	1.194	681
SPL359	G23	1.125	645
SPL360	H23	1.113	504
SPL361	I23	1.100	315
SPL362	J23	1.089	377
SPL363	K23	1.191	74
SPL364	L23	1.208	58
SPL365	M23	1.189	3196
SPL366	N23	1.116	1680
SPL367	O23	1.191	1218
SPL368	P23	1.220	1671
SPL369	A24	1.132	232
SPL370	B24	1.072	234
SPL371	C24	0.895	2772
SPL372	D24	1.033	4142
SPL373	E24	1.214	711
SPL374	F24	1.220	667
SPL375	G24	1.136	596
SPL376	H24	1.133	517
SPL377	I24	1.094	338
SPL378	J24	1.069	311
SPL379	K24	1.206	58
SPL380	L24	1.201	71
SPL381	M24	1.179	2993
SPL382	N24	1.206	2917
SPL383	O24	1.167	1069
SPL384	P24	1.146	1403

