

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	1:04:10 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.2

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.820	35
SPL2	B1	0.801	42
SPL3	C1	0.072	8
SPL4	D1	0.449	1730
SPL5	E1	0.759	36
SPL6	F1	0.807	35
SPL7	G1	0.094	11
SPL8	H1	0.132	25
SPL9	I1	0.703	124
SPL10	J1	0.486	182
SPL11	K1	0.811	38
SPL12	L1	0.844	30
SPL13	M1	0.881	215
SPL14	N1	0.853	300
SPL15	O1	0.858	141
SPL16	P1	0.860	157
SPL17	A2	0.885	35
SPL18	B2	0.856	33
SPL19	C2	0.457	1358
SPL20	D2	0.446	1801
SPL21	E2	0.782	39
SPL22	F2	0.813	39
SPL23	G2	0.163	26
SPL24	H2	0.126	23
SPL25	I2	0.643	251
SPL26	J2	0.726	281
SPL27	K2	0.809	27
SPL28	L2	0.843	28
SPL29	M2	0.881	483
SPL30	N2	0.795	571
SPL31	O2	0.890	173
SPL32	P2	0.888	170
SPL33	A3	0.541	155
SPL34	B3	0.556	131
SPL35	C3	0.173	591
SPL36	D3	0.155	403
SPL37	E3	0.747	734
SPL38	F3	0.687	759
SPL39	G3	0.726	514
SPL40	H3	0.669	480
SPL41	I3	0.370	151
SPL42	J3	0.218	84
SPL43	K3	0.785	37
SPL44	L3	0.818	30
SPL45	M3	0.861	532
SPL46	N3	0.897	493
SPL47	O3	0.825	179
SPL48	P3	0.842	130
SPL49	A4	0.581	170
SPL50	B4	0.544	155
SPL51	C4	0.172	608
SPL52	D4	0.180	485
SPL53	E4	0.735	970
SPL54	F4	0.865	586
SPL55	G4	0.781	429
SPL56	H4	0.782	374
SPL57	I4	0.419	153
SPL58	J4	0.565	192
SPL59	K4	0.871	36
SPL60	L4	0.861	38
SPL61	M4	0.871	586
SPL62	N4	0.894	509
SPL63	O4	0.834	186
SPL64	P4	0.849	161
SPL65	A5	0.399	149
SPL66	B5	0.354	86
SPL67	C5	0.400	1412
SPL68	D5	0.539	1892
SPL69	E5	0.739	1000
SPL70	F5	0.737	683
SPL71	G5	0.661	508
SPL72	H5	0.724	363
SPL73	I5	0.819	249
SPL74	J5	0.661	248
SPL75	K5	0.822	35
SPL76	L5	0.883	38
SPL77	M5	0.900	430
SPL78	N5	0.928	449
SPL79	O5	0.805	175
SPL80	P5	0.800	164
SPL81	A6	0.420	148
SPL82	B6	0.336	71
SPL83	C6	0.330	1452
SPL84	D6	0.473	1802
SPL85	E6	0.754	578
SPL86	F6	0.799	668
SPL87	G6	0.728	618
SPL88	H6	0.727	378
SPL89	I6	0.603	216
SPL90	J6	0.640	292
SPL91	K6	0.856	39
SPL92	L6	0.844	36
SPL93	M6	0.890	504
SPL94	N6	0.906	408
SPL95	O6	0.888	184
SPL96	P6	0.819	144
SPL97	A7	0.453	121
SPL98	B7	0.540	156
SPL99	C7	0.313	1395
SPL100	D7	0.272	1132
SPL101	E7	0.791	580
SPL102	F7	0.834	633
SPL103	G7	0.719	526
SPL104	H7	0.734	328
SPL105	I7	0.674	278
SPL106	J7	0.690	278
SPL107	K7	0.806	33
SPL108	L7	0.836	31
SPL109	M7	0.869	424
SPL110	N7	0.876	408
SPL111	O7	0.809	165
SPL112	P7	0.807	132
SPL113	A8	0.441	142
SPL114	B8	0.548	154
SPL115	C8	0.320	1203
SPL116	D8	0.495	2105
SPL117	E8	0.777	433
SPL118	F8	0.827	524
SPL119	G8	0.670	455
SPL120	H8	0.786	302
SPL121	I8	0.761	217
SPL122	J8	0.683	231
SPL123	K8	0.836	38
SPL124	L8	0.843	38
SPL125	M8	0.860	450
SPL126	N8	0.894	452
SPL127	O8	0.850	147
SPL128	P8	0.893	151
SPL129	A9	0.549	167
SPL130	B9	0.581	152
SPL131	C9	0.413	1189
SPL132	D9	0.400	1705
SPL133	E9	0.722	715
SPL134	F9	0.775	819
SPL135	G9	0.741	399
SPL136	H9	0.789	300
SPL137	I9	0.746	253
SPL138	J9	0.776	266
SPL139	K9	0.847	36
SPL140	L9	0.811	37
SPL141	M9	0.898	464
SPL142	N9	0.875	441
SPL143	O9	0.835	177
SPL144	P9	0.935	168
SPL145	A10	0.574	185
SPL146	B10	0.584	171
SPL147	C10	0.385	1499
SPL148	D10	0.340	1311
SPL149	E10	0.784	509
SPL150	F10	0.834	570
SPL151	G10	0.731	391
SPL152	H10	0.784	407
SPL153	I10	0.750	188
SPL154	J10	0.584	192
SPL155	K10	0.825	36
SPL156	L10	0.856	31
SPL157	M10	0.892	447
SPL158	N10	0.928	489
SPL159	O10	0.854	181
SPL160	P10	0.848	175
SPL161	A11	0.585	179
SPL162	B11	0.516	136
SPL163	C11	0.393	1397
SPL164	D11	0.448	1469
SPL165	E11	0.792	639
SPL166	F11	0.754	586
SPL167	G11	0.762	480
SPL168	H11	0.756	343
SPL169	I11	0.736	263
SPL170	J11	0.747	271
SPL171	K11	0.774	39
SPL172	L11	0.876	37
SPL173	M11	0.899	346
SPL174	N11	0.900	470
SPL175	O11	0.847	156
SPL176	P11	0.881	133
SPL177	A12	0.496	153
SPL178	B12	0.420	132
SPL179	C12	0.372	1670
SPL180	D12	0.471	1850
SPL181	E12	0.811	494
SPL182	F12	0.808	585
SPL183	G12	0.738	311
SPL184	H12	0.788	422
SPL185	I12	0.721	215
SPL186	J12	0.641	271
SPL187	K12	0.903	38
SPL188	L12	0.857	31
SPL189	M12	0.880	386
SPL190	N12	0.893	418
SPL191	O12	0.870	190
SPL192	P12	0.878	171
SPL193	A13	0.460	131
SPL194	B13	0.482	131
SPL195	C13	0.277	1114
SPL196	D13	0.363	1643
SPL197	E13	0.753	478
SPL198	F13	0.790	629
SPL199	G13	0.739	333
SPL200	H13	0.794	303
SPL201	I13	0.518	187
SPL202	J13	0.532	217
SPL203	K13	0.848	40
SPL204	L13	0.874	35
SPL205	M13	0.888	388
SPL206	N13	0.887	463
SPL207	O13	0.871	176
SPL208	P13	0.882	191
SPL209	A14	0.414	135
SPL210	B14	0.468	135
SPL211	C14	0.285	987
SPL212	D14	0.302	1155
SPL213	E14	0.778	629
SPL214	F14	0.851	564
SPL215	G14	0.745	363
SPL216	H14	0.801	330
SPL217	I14	0.699	277
SPL218	J14	0.574	224
SPL219	K14	0.883	40
SPL220	L14	0.869	36
SPL221	M14	0.879	489
SPL222	N14	0.945	474
SPL223	O14	0.858	169
SPL224	P14	0.851	174
SPL225	A15	0.597	162
SPL226	B15	0.625	170
SPL227	C15	0.449	1718
SPL228	D15	0.279	1227
SPL229	E15	0.756	550
SPL230	F15	0.773	560
SPL231	G15	0.678	556
SPL232	H15	0.827	311
SPL233	I15	0.698	226
SPL234	J15	0.661	212
SPL235	K15	0.847	38
SPL236	L15	0.842	34
SPL237	M15	0.879	447
SPL238	N15	0.888	393
SPL239	O15	0.892	192
SPL240	P15	0.884	177
SPL241	A16	0.489	135
SPL242	B16	0.459	151
SPL243	C16	0.288	1059
SPL244	D16	0.315	1500
SPL245	E16	0.772	506
SPL246	F16	0.771	555
SPL247	G16	0.714	482
SPL248	H16	0.758	597
SPL249	I16	0.611	238
SPL250	J16	0.613	226
SPL251	K16	0.829	38
SPL252	L16	0.859	36
SPL253	M16	0.873	558
SPL254	N16	0.839	498
SPL255	O16	0.862	183
SPL256	P16	0.894	178
SPL257	A17	0.509	118
SPL258	B17	0.602	154
SPL259	C17	0.397	1397
SPL260	D17	0.394	1668
SPL261	E17	0.774	727
