

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	12:37:14 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.4

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.696	22
SPL2	B1	0.608	22
SPL3	C1	0.076	7
SPL4	D1	0.446	291
SPL5	E1	0.667	27
SPL6	F1	0.626	26
SPL7	G1	0.105	9
SPL8	H1	0.156	11
SPL9	I1	0.658	49
SPL10	J1	0.517	49
SPL11	K1	0.677	20
SPL12	L1	0.686	28
SPL13	M1	0.751	50
SPL14	N1	0.734	73
SPL15	O1	0.634	64
SPL16	P1	0.742	45
SPL17	A2	0.646	24
SPL18	B2	0.646	29
SPL19	C2	0.488	311
SPL20	D2	0.501	326
SPL21	E2	0.589	28
SPL22	F2	0.661	34
SPL23	G2	0.140	11
SPL24	H2	0.134	13
SPL25	I2	0.552	49
SPL26	J2	0.569	54
SPL27	K2	0.692	31
SPL28	L2	0.692	28
SPL29	M2	0.693	90
SPL30	N2	0.663	80
SPL31	O2	0.685	53
SPL32	P2	0.730	45
SPL33	A3	0.529	63
SPL34	B3	0.502	60
SPL35	C3	0.269	345
SPL36	D3	0.172	174
SPL37	E3	0.523	92
SPL38	F3	0.585	81
SPL39	G3	0.581	68
SPL40	H3	0.571	57
SPL41	I3	0.511	46
SPL42	J3	0.304	40
SPL43	K3	0.631	24
SPL44	L3	0.690	27
SPL45	M3	0.711	96
SPL46	N3	0.709	89
SPL47	O3	0.655	59
SPL48	P3	0.714	51
SPL49	A4	0.519	62
SPL50	B4	0.559	77
SPL51	C4	0.227	278
SPL52	D4	0.270	369
SPL53	E4	0.549	100
SPL54	F4	0.654	101
SPL55	G4	0.631	72
