

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	2:52:02 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.0

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	1.146	61
SPL2	B1	1.129	53
SPL3	C1	0.098	8
SPL4	D1	0.732	1859
SPL5	E1	1.107	76
SPL6	F1	1.154	75
SPL7	G1	0.133	13
SPL8	H1	0.236	25
SPL9	I1	1.092	282
SPL10	J1	0.972	289
SPL11	K1	0.979	66
SPL12	L1	1.235	70
SPL13	M1	1.182	1550
SPL14	N1	1.190	2076
SPL15	O1	1.195	850
SPL16	P1	1.263	887
SPL17	A2	1.201	61
SPL18	B2	1.190	67
SPL19	C2	0.712	1193
SPL20	D2	0.817	2148
SPL21	E2	1.121	70
SPL22	F2	1.164	85
SPL23	G2	0.218	26
SPL24	H2	0.224	33
SPL25	I2	1.044	452
SPL26	J2	1.094	452
SPL27	K2	1.213	79
SPL28	L2	1.226	71
SPL29	M2	1.187	2022
SPL30	N2	1.014	2156
SPL31	O2	1.232	1024
SPL32	P2	1.242	1010
SPL33	A3	0.985	215
SPL34	B3	0.966	256
SPL35	C3	0.341	499
SPL36	D3	0.253	322
SPL37	E3	1.069	1147
SPL38	F3	1.028	1086
SPL39	G3	1.064	682
SPL40	H3	1.063	713
SPL41	I3	0.802	252
SPL42	J3	0.471	94
SPL43	K3	1.149	64
SPL44	L3	1.209	70
SPL45	M3	1.211	2498
SPL46	N3	1.002	1683
SPL47	O3	1.172	866
SPL48	P3	1.202	788
SPL49	A4	0.995	218
SPL50	B4	0.944	258
SPL51	C4	0.292	501
SPL52	D4	0.323	617
SPL53	E4	1.043	1061
SPL54	F4	1.153	1167
SPL55	G4	1.071	635
SPL56	H4	1.123	828
SPL57	I4	0.792	253
SPL58	J4	0.956	338
SPL59	K4	1.197	82
SPL60	L4	1.240	77
SPL61	M4	1.176	2260
SPL62	N4	1.186	2263
SPL63	O4	1.228	984
SPL64	P4	1.070	787
SPL65	A5	0.793	252
SPL66	B5	0.823	256
SPL67	C5	0.686	1412
SPL68	D5	0.655	1519
SPL69	E5	1.030	895
SPL70	F5	1.070	1213
SPL71	G5	0.978	672
SPL72	H5	1.073	703
SPL73	I5	1.025	367
SPL74	J5	1.031	410
SPL75	K5	1.031	66
SPL76	L5	1.200	77
SPL77	M5	1.181	2312
SPL78	N5	1.157	2147
SPL79	O5	1.203	1058
SPL80	P5	1.206	931
SPL81	A6	0.796	242
SPL82	B6	0.875	264
SPL83	C6	0.584	1453
SPL84	D6	0.801	2547
SPL85	E6	1.056	1057
SPL86	F6	1.071	1157
