

Software Version	2.00.18



Plate Number	Plate 1
Date	8/4/2014
Time	7:19:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	26.7

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.532	1127
SPL2	B1	0.548	1358
SPL3	C1	0.476	354
SPL4	D1	0.463	354
SPL5	E1	0.512	1516
SPL6	F1	0.524	1527
SPL7	G1	0.461	458
SPL8	H1	0.461	462
SPL9	I1	0.525	1927
SPL10	J1	0.510	1924
SPL11	K1	0.461	542
SPL12	L1	0.449	537
SPL13	M1	0.489	1998
SPL14	N1	0.464	2015
SPL15	O1	0.448	653
SPL16	P1	0.470	614
SPL17	A2	0.614	1223
SPL18	B2	0.548	1292
SPL19	C2	0.485	360
SPL20	D2	0.499	458
SPL21	E2	0.523	1558
SPL22	F2	0.508	1899
SPL23	G2	0.481	433
SPL24	H2	0.460	513
SPL25	I2	0.544	2082
SPL26	J2	0.523	2082
SPL27	K2	0.449	556
SPL28	L2	0.458	661
SPL29	M2	0.466	1840
SPL30	N2	0.445	1995
SPL31	O2	0.466	621
SPL32	P2	0.459	729
SPL33	A3	0.569	121
SPL34	B3	0.561	131
SPL35	C3	0.537	8976
SPL36	D3	0.531	10908
SPL37	E3	0.593	192
SPL38	F3	0.592	170
SPL39	G3	0.538	12303
SPL40	H3	0.532	12873
SPL41	I3	0.630	246
SPL42	J3	0.637	163
SPL43	K3	0.531	13093
SPL44	L3	0.529	12711
SPL45	M3	0.633	235
SPL46	N3	0.618	180
SPL47	O3	0.506	12289
SPL48	P3	0.515	11399
SPL49	A4	0.563	103
SPL50	B4	0.555	120
SPL51	C4	0.549	9852
