

Software Version	2.00.18



Plate Number	Plate 1
Date	8/4/2014
Time	3:14:42 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	27.5

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.359	163
SPL2	B1	0.307	172
SPL3	C1	0.161	29
SPL4	D1	0.168	34
SPL5	E1	0.135	153
SPL6	F1	0.141	182
SPL7	G1	0.183	37
SPL8	H1	0.173	38
SPL9	I1	0.106	169
SPL10	J1	0.344	231
SPL11	K1	0.160	26
SPL12	L1	0.159	33
SPL13	M1	0.303	227
SPL14	N1	0.294	245
SPL15	O1	0.157	42
SPL16	P1	0.159	43
SPL17	A2	0.396	163
SPL18	B2	0.263	178
SPL19	C2	0.169	39
SPL20	D2	0.166	46
SPL21	E2	0.911	335
SPL22	F2	0.166	209
SPL23	G2	0.170	40
SPL24	H2	0.171	37
SPL25	I2	0.293	235
SPL26	J2	0.304	227
SPL27	K2	0.165	42
SPL28	L2	0.161	39
SPL29	M2	0.319	234
SPL30	N2	0.290	264
SPL31	O2	0.151	41
SPL32	P2	0.150	37
SPL33	A3	0.452	30
SPL34	B3	0.429	30
SPL35	C3	0.207	434
SPL36	D3	0.201	494
SPL37	E3	0.397	31
SPL38	F3	0.402	32
SPL39	G3	0.209	640
SPL40	H3	0.204	609
SPL41	I3	0.120	130
SPL42	J3	0.378	33
SPL43	K3	0.196	511
SPL44	L3	0.203	507
SPL45	M3	0.406	37
SPL46	N3	0.396	33
SPL47	O3	0.211	558
SPL48	P3	0.208	666
SPL49	A4	0.429	26
SPL50	B4	0.430	30
SPL51	C4	0.220	427
SPL52	D4	0.204	513
SPL53	E4	0.399	32
SPL54	F4	0.378	27
SPL55	G4	0.204	614
SPL56	H4	0.216	675
SPL57	I4	0.377	41
SPL58	J4	0.400	34
SPL59	K4	0.206	548
SPL60	L4	0.204	517
SPL61	M4	0.423	33
SPL62	N4	0.401	32
SPL63	O4	0.227	637
SPL64	P4	0.212	683
SPL65	A5	0.385	3
SPL66	B5	0.372	4
SPL67	C5	0.103	59
SPL68	D5	0.107	60
SPL69	E5	0.417	4
SPL70	F5	0.434	4
SPL71	G5	0.105	81
SPL72	H5	0.109	69
SPL73	I5	0.132	115
SPL74	J5	0.368	6
SPL75	K5	0.101	77
SPL76	L5	0.093	76
SPL77	M5	0.384	6
SPL78	N5	0.395	4
SPL79	O5	0.109	71
SPL80	P5	0.102	62
SPL81	A6	0.365	4
SPL82	B6	0.369	4
SPL83	C6	0.108	65
SPL84	D6	0.110	59
SPL85	E6	0.416	4
SPL86	F6	0.440	3
SPL87	G6	0.108	77
SPL88	H6	0.112	80
SPL89	I6	0.348	8
SPL90	J6	0.358	5
SPL91	K6	0.100	78
SPL92	L6	0.095	68
SPL93	M6	0.405	4
SPL94	N6	0.385	4
SPL95	O6	0.106	66
SPL96	P6	0.099	68
SPL97	A7	0.375	12
SPL98	B7	0.358	13
SPL99	C7	0.180	78
SPL100	D7	0.181	97
SPL101	E7	0.348	11
SPL102	F7	0.370	15
SPL103	G7	0.186	105
SPL104	H7	0.184	117
SPL105	I7	0.152	187
SPL106	J7	0.365	14
SPL107	K7	0.180	142
SPL108	L7	0.177	145
SPL109	M7	0.345	12
SPL110	N7	0.338	14
SPL111	O7	0.180	128
SPL112	P7	0.180	160
SPL113	A8	0.362	12
SPL114	B8	0.363	12
SPL115	C8	0.182	87
SPL116	D8	0.189	99
SPL117	E8	0.367	12
SPL118	F8	0.345	14
SPL119	G8	0.197	120
SPL120	H8	0.183	110
SPL121	I8	0.344	16
SPL122	J8	0.359	20
SPL123	K8	0.180	151
SPL124	L8	0.179	134
SPL125	M8	0.358	19
SPL126	N8	0.346	14
SPL127	O8	0.194	150
SPL128	P8	0.174	119
SPL129	A9	0.343	5
SPL130	B9	0.333	4
SPL131	C9	0.160	45
SPL132	D9	0.156	44
SPL133	E9	0.345	4
SPL134	F9	0.361	5
SPL135	G9	0.144	47
SPL136	H9	0.156	56
SPL137	I9	0.341	4
SPL138	J9	0.337	4
SPL139	K9	0.120	53
SPL140	L9	0.129	43
SPL141	M9	0.356	5
SPL142	N9	0.355	4
SPL143	O9	0.177	58
SPL144	P9	0.180	62
SPL145	A10	0.336	4
SPL146	B10	0.334	4
SPL147	C10	0.163	50
SPL148	D10	0.158	56
SPL149	E10	0.346	4
SPL150	F10	0.358	4
SPL151	G10	0.137	48
SPL152	H10	0.132	59
SPL153	I10	0.316	4
