

Software Version	2.00.18



Plate Number	Plate 1
Date	7/24/2014
Time	5:28:08 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	26.6

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.438	5
SPL2	B1	0.305	0
SPL3	C1	0.314	6
SPL4	D1	0.295	6
SPL5	E1	0.304	5
SPL6	F1	0.280	0
SPL7	G1	0.310	1
SPL8	H1	0.304	2
SPL9	I1	0.455	4
SPL10	J1	0.297	2
SPL11	K1	0.405	2
SPL12	L1	0.311	4
SPL13	M1	0.334	4
SPL14	N1	0.307	5
SPL15	O1	0.426	7
SPL16	P1	0.493	10
SPL17	A2	0.331	4
SPL18	B2	0.340	8
SPL19	C2	0.361	8
SPL20	D2	0.386	5
SPL21	E2	0.317	7
SPL22	F2	0.306	5
SPL23	G2	0.276	0
SPL24	H2	0.357	5
SPL25	I2	0.278	5
SPL26	J2	0.468	1
SPL27	K2	0.320	9
SPL28	L2	0.386	3
SPL29	M2	0.244	5
SPL30	N2	0.359	6
SPL31	O2	0.425	4
SPL32	P2	0.407	8
SPL33	A3	0.198	20
SPL34	B3	0.463	86
SPL35	C3	0.394	15
SPL36	D3	1.018	263
SPL37	E3	0.258	20
SPL38	F3	0.859	240
SPL39	G3	0.365	19
SPL40	H3	1.003	255
SPL41	I3	0.280	4
SPL42	J3	0.488	66
SPL43	K3	0.219	9
SPL44	L3	0.742	172
SPL45	M3	0.490	39
SPL46	N3	1.021	206
SPL47	O3	0.117	8
SPL48	P3	1.021	233
SPL49	A4	0.405	36
SPL50	B4	0.264	58
SPL51	C4	0.989	217
SPL52	D4	0.461	28
SPL53	E4	0.658	151
SPL54	F4	0.248	15
SPL55	G4	0.929	200
SPL56	H4	0.360	30
SPL57	I4	0.684	476
SPL58	J4	0.847	287
SPL59	K4	0.390	45
SPL60	L4	0.249	20
SPL61	M4	0.960	175
