

Software Version	2.00.18



Plate Number	Plate 1
Date	7/24/2014
Time	5:11:35 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	26.7

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.354	1
SPL2	B1	0.357	7
SPL3	C1	0.362	2
SPL4	D1	0.396	5
SPL5	E1	0.295	8
SPL6	F1	0.309	4
SPL7	G1	0.315	0
SPL8	H1	0.385	0
SPL9	I1	0.451	2
SPL10	J1	0.293	6
SPL11	K1	0.377	8
SPL12	L1	0.299	0
SPL13	M1	0.317	1
SPL14	N1	0.313	5
SPL15	O1	0.448	2
SPL16	P1	0.437	6
SPL17	A2	0.392	6
SPL18	B2	0.324	5
SPL19	C2	0.395	6
SPL20	D2	0.361	3
SPL21	E2	0.350	3
SPL22	F2	0.299	4
SPL23	G2	0.335	6
SPL24	H2	0.339	4
SPL25	I2	0.391	2
SPL26	J2	0.443	6
SPL27	K2	0.327	3
SPL28	L2	0.373	8
SPL29	M2	0.278	4
SPL30	N2	0.329	1
SPL31	O2	0.433	3
SPL32	P2	0.388	1
SPL33	A3	0.240	38
SPL34	B3	0.478	85
SPL35	C3	0.606	91
SPL36	D3	0.972	333
SPL37	E3	0.273	14
SPL38	F3	0.757	206
SPL39	G3	0.497	47
SPL40	H3	0.934	256
SPL41	I3	0.247	7
SPL42	J3	0.482	95
SPL43	K3	0.228	8
SPL44	L3	0.585	125
SPL45	M3	0.397	33
SPL46	N3	0.958	239
SPL47	O3	0.459	23
SPL48	P3	0.905	214
SPL49	A4	0.525	72
SPL50	B4	0.251	35
SPL51	C4	0.955	228
SPL52	D4	0.548	75
SPL53	E4	0.657	207
SPL54	F4	0.260	20
SPL55	G4	0.953	263
SPL56	H4	0.368	28
SPL57	I4	0.632	519
SPL58	J4	0.779	251
SPL59	K4	0.464	58
SPL60	L4	0.232	23
SPL61	M4	0.950	216
SPL62	N4	0.405	42
SPL63	O4	0.937	233
SPL64	P4	0.343	27
SPL65	A5	0.248	2
SPL66	B5	0.503	103
SPL67	C5	0.463	20
SPL68	D5	0.978	549
SPL69	E5	0.257	17
SPL70	F5	0.806	325
SPL71	G5	0.290	7
SPL72	H5	0.940	470
SPL73	I5	0.415	41
SPL74	J5	0.434	162
SPL75	K5	0.231	6
SPL76	L5	0.574	175
SPL77	M5	0.434	14
SPL78	N5	0.979	466
SPL79	O5	0.302	13
SPL80	P5	0.994	447
SPL81	A6	0.493	122
SPL82	B6	0.250	15
SPL83	C6	0.984	454
SPL84	D6	0.292	12
SPL85	E6	0.779	271
SPL86	F6	0.277	17
SPL87	G6	0.984	431
SPL88	H6	0.368	21
SPL89	I6	0.396	88
SPL90	J6	0.390	35
SPL91	K6	0.542	142
SPL92	L6	0.293	22
SPL93	M6	0.994	397
SPL94	N6	0.480	36
SPL95	O6	0.984	432
SPL96	P6	0.418	24
SPL97	A7	0.474	96
SPL98	B7	0.517	108
SPL99	C7	0.987	503
SPL100	D7	1.011	544
SPL101	E7	0.783	482
SPL102	F7	0.614	145
SPL103	G7	0.955	480
SPL104	H7	0.956	512
SPL105	I7	0.390	75
SPL106	J7	0.903	269
SPL107	K7	0.541	177
SPL108	L7	0.576	131
SPL109	M7	0.925	296
SPL110	N7	0.993	368
SPL111	O7	0.974	566
SPL112	P7	0.996	523
SPL113	A8	0.577	191
SPL114	B8	0.524	146
SPL115	C8	0.984	501
SPL116	D8	0.895	347
SPL117	E8	0.769	273
SPL118	F8	0.847	451
SPL119	G8	0.921	496
SPL120	H8	0.870	405
SPL121	I8	0.848	88
SPL122	J8	0.952	1473
SPL123	K8	0.540	123
SPL124	L8	0.421	102
SPL125	M8	0.962	441
SPL126	N8	1.030	543
SPL127	O8	0.954	457
SPL128	P8	1.013	590
SPL129	A9	0.502	153
SPL130	B9	0.516	140
SPL131	C9	0.969	566
SPL132	D9	0.974	489
SPL133	E9	0.732	92
SPL134	F9	0.751	307
SPL135	G9	0.878	491
SPL136	H9	0.934	417
SPL137	I9	0.618	194
SPL138	J9	0.466	249
SPL139	K9	0.672	210
SPL140	L9	0.454	98
SPL141	M9	0.965	315
SPL142	N9	1.030	501
SPL143	O9	0.935	71
SPL144	P9	0.943	411
SPL145	A10	0.501	109
SPL146	B10	0.502	105
SPL147	C10	0.985	546
SPL148	D10	0.986	179
SPL149	E10	0.784	244
SPL150	F10	0.725	306
SPL151	G10	0.907	379
SPL152	H10	0.886	506
SPL153	I10	0.395	103
SPL154	J10	0.616	181
SPL155	K10	0.575	174
SPL156	L10	0.507	157
SPL157	M10	0.985	480
SPL158	N10	0.964	671
SPL159	O10	0.957	456
SPL160	P10	0.943	490
SPL161	A11	0.528	131
SPL162	B11	0.500	2161
SPL163	C11	0.996	392
