

Software Version	2.00.18



Plate Number	Plate 1
Date	7/24/2014
Time	4:34:41 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	26.7

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.348	4
SPL2	B1	0.489	3
SPL3	C1	0.498	2
SPL4	D1	0.461	7
SPL5	E1	0.451	4
SPL6	F1	0.524	3
SPL7	G1	0.429	3
SPL8	H1	0.499	3
SPL9	I1	0.477	7
SPL10	J1	0.352	2
SPL11	K1	0.425	3
SPL12	L1	0.473	67
SPL13	M1	0.460	2
SPL14	N1	0.393	3
SPL15	O1	0.417	2
SPL16	P1	0.346	6
SPL17	A2	0.522	0
SPL18	B2	0.408	3
SPL19	C2	0.463	2
SPL20	D2	0.462	4
SPL21	E2	0.517	4
SPL22	F2	0.390	1
SPL23	G2	0.477	9
SPL24	H2	0.480	5
SPL25	I2	0.355	2
SPL26	J2	0.506	4
SPL27	K2	0.485	2
SPL28	L2	0.475	5
SPL29	M2	0.401	1
SPL30	N2	0.474	3
SPL31	O2	0.344	5
SPL32	P2	0.463	4
SPL33	A3	0.278	120
SPL34	B3	0.663	238
SPL35	C3	0.189	101
SPL36	D3	0.657	269
SPL37	E3	0.300	382
SPL38	F3	0.654	242
SPL39	G3	0.298	90
SPL40	H3	0.571	205
SPL41	I3	0.478	435
SPL42	J3	0.639	237
SPL43	K3	0.842	388
SPL44	L3	0.694	215
SPL45	M3	0.261	81
SPL46	N3	0.570	249
SPL47	O3	0.227	40
SPL48	P3	0.558	145
SPL49	A4	0.577	166
SPL50	B4	0.270	185
SPL51	C4	0.572	225
SPL52	D4	0.246	184
SPL53	E4	0.631	348
SPL54	F4	0.334	475
SPL55	G4	0.520	191
SPL56	H4	0.366	577
SPL57	I4	0.497	141
SPL58	J4	0.435	812
SPL59	K4	0.601	186
SPL60	L4	0.600	228
SPL61	M4	0.576	665
SPL62	N4	0.267	49
SPL63	O4	0.573	201
SPL64	P4	0.229	61
SPL65	A5	0.296	39
SPL66	B5	0.612	277
SPL67	C5	0.257	42
SPL68	D5	0.488	299
SPL69	E5	0.431	57
SPL70	F5	0.765	343
SPL71	G5	0.317	38
SPL72	H5	0.666	303
SPL73	I5	0.301	45
SPL74	J5	0.552	289
SPL75	K5	0.788	113
SPL76	L5	0.721	428
SPL77	M5	0.266	51
SPL78	N5	0.586	892
SPL79	O5	0.241	24
SPL80	P5	0.460	194
SPL81	A6	0.572	219
SPL82	B6	0.292	44
SPL83	C6	0.474	196
SPL84	D6	0.218	41
SPL85	E6	0.750	336
SPL86	F6	0.500	90
SPL87	G6	0.623	305
SPL88	H6	0.275	49
SPL89	I6	0.516	193
SPL90	J6	0.225	23
SPL91	K6	0.788	490
