

Software Version	2.00.18



Plate Number	Plate 1
Date	7/24/2014
Time	4:52:35 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	26.7

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.087	2
SPL2	B1	0.520	11
SPL3	C1	0.040	2
SPL4	D1	0.511	8
SPL5	E1	0.388	1
SPL6	F1	0.529	2
SPL7	G1	0.507	0
SPL8	H1	0.564	5
SPL9	I1	0.040	5
SPL10	J1	0.532	5
SPL11	K1	0.392	5
SPL12	L1	0.379	1
SPL13	M1	0.341	3
SPL14	N1	0.556	4
SPL15	O1	0.296	1
SPL16	P1	0.490	4
SPL17	A2	0.531	5
SPL18	B2	0.348	2
SPL19	C2	0.495	6
SPL20	D2	0.432	4
SPL21	E2	0.519	3
SPL22	F2	0.392	7
SPL23	G2	0.414	5
SPL24	H2	0.395	6
SPL25	I2	0.517	3
SPL26	J2	0.441	7
SPL27	K2	0.367	6
SPL28	L2	0.428	5
SPL29	M2	0.509	1
SPL30	N2	0.316	12
SPL31	O2	0.458	7
SPL32	P2	0.238	5
SPL33	A3	0.525	1310
SPL34	B3	0.655	119
SPL35	C3	0.419	2191
SPL36	D3	0.656	146
SPL37	E3	0.588	358
SPL38	F3	0.785	343
SPL39	G3	0.311	58
SPL40	H3	0.739	266
SPL41	I3	0.574	82
SPL42	J3	0.667	117
SPL43	K3	0.396	11
SPL44	L3	0.945	419
SPL45	M3	0.859	302
SPL46	N3	0.882	1147
SPL47	O3	0.868	85
SPL48	P3	0.810	531
SPL49	A4	0.720	195
SPL50	B4	0.443	774
SPL51	C4	0.696	160
SPL52	D4	0.293	304
SPL53	E4	0.697	177
SPL54	F4	0.346	367
SPL55	G4	0.641	119
SPL56	H4	0.249	97
SPL57	I4	0.616	107
SPL58	J4	0.272	162
SPL59	K4	0.997	487
SPL60	L4	0.562	77
SPL61	M4	0.891	886
SPL62	N4	0.884	346
SPL63	O4	0.729	450
SPL64	P4	0.868	248
SPL65	A5	0.231	3
SPL66	B5	0.700	219
SPL67	C5	0.239	14
SPL68	D5	0.642	328
SPL69	E5	0.901	35
SPL70	F5	0.935	405
SPL71	G5	0.323	29
SPL72	H5	0.742	366
SPL73	I5	0.231	23
SPL74	J5	0.522	139
SPL75	K5	0.397	10
SPL76	L5	1.027	902
SPL77	M5	0.793	18
SPL78	N5	1.080	1983
SPL79	O5	0.976	26
SPL80	P5	0.912	1400
SPL81	A6	0.825	310
SPL82	B6	0.587	32
SPL83	C6	0.604	256
SPL84	D6	0.332	34
SPL85	E6	0.678	223
SPL86	F6	0.804	92
SPL87	G6	0.744	256
SPL88	H6	0.233	22
SPL89	I6	0.505	150
SPL90	J6	0.225	17
SPL91	K6	1.005	862
SPL92	L6	0.412	30
SPL93	M6	0.929	2159
SPL94	N6	0.958	93
SPL95	O6	0.922	1124
SPL96	P6	0.871	79
SPL97	A7	0.102	7
SPL98	B7	0.835	311
SPL99	C7	0.620	245
SPL100	D7	0.596	203
SPL101	E7	0.936	1361
SPL102	F7	0.614	195
SPL103	G7	0.774	403
SPL104	H7	0.623	240
SPL105	I7	0.604	144
SPL106	J7	0.635	154
SPL107	K7	1.013	845
SPL108	L7	1.018	539
SPL109	M7	0.582	169
SPL110	N7	0.608	232
SPL111	O7	0.942	1141
SPL112	P7	0.777	299
SPL113	A8	0.662	189
SPL114	B8	0.619	242
SPL115	C8	0.612	201
SPL116	D8	0.576	17
SPL117	E8	0.794	251
SPL118	F8	0.545	151
SPL119	G8	0.622	193
SPL120	H8	0.749	493
SPL121	I8	0.597	217
SPL122	J8	0.638	315
